   287.149994       1.39999998    
          37          37
   1.25000000       20.0000000    
   1.25000000       20.0000000    
          10           3
          11          31           6
   IIN     XIN       REL SPACING 
    1       0.00000   0.50000
    2       0.10000   0.70000
    3       0.20000   1.00000
    4       0.30000   1.40000
    5       0.40000   2.00000
    6       0.50000   3.00000
    7       0.60000   3.00000
    8       0.70000   3.00000
    9       0.80000   2.50000
   10       0.90000   2.00000
   11       1.00000   1.50000

 INTERPOLATED POSITIONS OF THE GRID POINTS ON THE BLADE
 AND THE RELATIVE SPACING OF THE POINTS 

    1       0.00000   0.50000
    2       0.03333   0.55556
    3       0.06667   0.62222
    4       0.10000   0.70000
    5       0.13333   0.78889
    6       0.16667   0.88889
    7       0.20000   1.00000
    8       0.23333   1.11728
    9       0.26667   1.24938
   10       0.30000   1.40000
   11       0.33333   1.56790
   12       0.36667   1.76543
   13       0.40000   2.00000
   14       0.43333   2.35803
   15       0.46667   2.70864
   16       0.50000   3.00000
   17       0.53333   3.06173
   18       0.56667   3.04938
   19       0.60000   3.00000
   20       0.63333   3.02469
   21       0.66667   3.03086
   22       0.70000   3.00000
   23       0.73333   2.86420
   24       0.76667   2.69136
   25       0.80000   2.50000
   26       0.83333   2.33333
   27       0.86667   2.16667
   28       0.90000   2.00000
   29       0.93333   1.83333
   30       0.96667   1.66667
   31       1.00000   1.50000

  BLADE TRUE CHORD:AXIAL CHORD RATIO =    1.05792379    


    TKLE      TKTE      TKMAX     XTMAX     XMODLE     XMODTE    TK_TYP 
    0.0200    0.0100    0.1000    0.4000    0.0200    0.0100    2.0000


 FCHORD=    1.00000000      FPERP=    0.00000000     FTKSCALE=    1.00000000    


  CENTRELINE COORDINATES AND THICKNESS FOR INTYPE = 1

    XIN        YIN       TKIN 
   0.00000   0.00000   0.02116
   0.00006  -0.00005   0.02139
   0.00025  -0.00020   0.02182
   0.00056  -0.00046   0.02238
   0.00100  -0.00082   0.02304
   0.00156  -0.00128   0.02379
   0.00224  -0.00184   0.02462
   0.00305  -0.00250   0.02551
   0.00398  -0.00326   0.02647
   0.00504  -0.00412   0.02748
